,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
0,0.23936170212765953,8,307.0,130.0,0.5361497022965693,0.23809523809523808,70,1,chevrolet chevelle malibu
1,0.15957446808510634,8,350.0,165.0,0.5897363198185427,0.20833333333333343,70,1,buick skylark 320
2,0.23936170212765953,8,318.0,150.0,0.5168698610717324,0.17857142857142863,70,1,plymouth satellite
3,0.1861702127659574,8,304.0,150.0,0.5160192798412249,0.23809523809523808,70,1,amc rebel sst
4,0.21276595744680846,8,302.0,140.0,0.5205557130705982,0.14880952380952386,70,1,ford torino
5,0.15957446808510634,8,429.0,198.0,0.7734618656081657,0.1190476190476191,70,1,ford galaxie 500
6,0.13297872340425526,8,454.0,220.0,0.7771477176070315,0.05952380952380955,70,1,chevrolet impala
7,0.13297872340425526,8,440.0,215.0,0.7652395803799262,0.029761904761904774,70,1,plymouth fury iii
8,0.13297872340425526,8,455.0,225.0,0.797278140062376,0.1190476190476191,70,1,pontiac catalina
9,0.15957446808510634,8,390.0,190.0,0.6342500708817692,0.029761904761904774,70,1,amc ambassador dpl
10,0.15957446808510634,8,383.0,170.0,0.5528777998298838,0.1190476190476191,70,1,dodge challenger se
11,0.13297872340425526,8,340.0,160.0,0.5659200453643324,0.0,70,1,plymouth 'cuda 340
12,0.15957446808510634,8,400.0,150.0,0.6090161610433796,0.08928571428571432,70,1,chevrolet monte carlo
13,0.13297872340425526,8,455.0,225.0,0.4176353841791891,0.1190476190476191,70,1,buick estate wagon (sw)
14,0.39893617021276584,4,113.0,95.00,0.21519705131840094,0.41666666666666674,70,3,toyota corona mark ii
15,0.34574468085106375,6,198.0,95.00,0.3459030337397222,0.4464285714285715,70,1,plymouth duster
16,0.23936170212765953,6,199.0,97.00,0.3291749362064077,0.4464285714285715,70,1,amc hornet
17,0.3191489361702127,6,200.0,85.00,0.2761553728381061,0.4761904761904763,70,1,ford maverick
18,0.478723404255319,4,97.0,88.00,0.14658349872412813,0.386904761904762,70,3,datsun pl510
19,0.452127659574468,4,97.0,46.00,0.06294301105755595,0.7440476190476191,70,2,volkswagen 1131 deluxe sedan
20,0.42553191489361686,4,110.0,87.00,0.3002551743691523,0.5654761904761905,70,2,peugeot 504
21,0.39893617021276584,4,107.0,90.00,0.23164162177487946,0.386904761904762,70,2,audi 100 ls
22,0.42553191489361686,4,104.0,95.00,0.21604763254890846,0.5654761904761905,70,2,saab 99e
23,0.452127659574468,4,121.0,113.0,0.1760703147150553,0.26785714285714285,70,2,bmw 2002
24,0.3191489361702127,6,199.0,90.00,0.2934505245250921,0.41666666666666674,70,1,amc gremlin
25,0.02659574468085104,8,360.0,215.0,0.8511482846611852,0.35714285714285715,70,1,ford f250
26,0.02659574468085104,8,307.0,200.0,0.7833853132974199,0.41666666666666674,70,1,chevy c20
27,0.05319148936170211,8,318.0,210.0,0.7850864757584349,0.3273809523809524,70,1,dodge d200
28,0.0,8,304.0,193.0,0.8843209526509782,0.625,70,1,hi 1200d
29,0.478723404255319,4,97.0,88.00,0.14658349872412813,0.386904761904762,71,3,datsun pl510
30,0.50531914893617,4,140.0,90.00,0.18457612702013038,0.4464285714285715,71,1,chevrolet vega 2300
31,0.42553191489361686,4,113.0,95.00,0.17436915225404026,0.35714285714285715,71,3,toyota corona
32,0.42553191489361686,4,98.0,?,0.12276722426991782,0.6547619047619049,71,1,ford pinto
33,0.2659574468085106,6,232.0,100.0,0.2894811454493904,0.2976190476190476,71,1,amc gremlin
34,0.1861702127659574,6,225.0,105.0,0.5177204423022399,0.4464285714285715,71,1,plymouth satellite custom
35,0.21276595744680846,6,250.0,100.0,0.4865324638502977,0.4464285714285715,71,1,chevrolet chevelle malibu
36,0.2659574468085106,6,250.0,88.00,0.47887723277573013,0.4464285714285715,71,1,ford torino 500
37,0.23936170212765953,6,232.0,100.0,0.4749078537000283,0.4464285714285715,71,1,amc matador
38,0.13297872340425526,8,350.0,165.0,0.736036291465835,0.23809523809523808,71,1,chevrolet impala
39,0.13297872340425526,8,400.0,175.0,0.8083356960589737,0.20833333333333343,71,1,pontiac catalina brougham
40,0.13297872340425526,8,351.0,153.0,0.7204423022398639,0.3273809523809524,71,1,ford galaxie 500
41,0.13297872340425526,8,318.0,150.0,0.7039977317833853,0.2976190476190476,71,1,plymouth fury iii
42,0.07978723404255318,8,383.0,180.0,0.9475474907853699,0.20833333333333343,71,1,dodge monaco (sw)
43,0.10638297872340424,8,400.0,170.0,0.8882903317266798,0.23809523809523808,71,1,ford country squire (sw)
44,0.10638297872340424,8,400.0,175.0,1.0,0.23809523809523808,71,1,pontiac safari (sw)
45,0.23936170212765953,6,258.0,110.0,0.3824780266515452,0.3273809523809524,71,1,amc hornet sportabout (sw)
46,0.34574468085106375,4,140.0,72.00,0.22540402608449106,0.6547619047619049,71,1,chevrolet vega (sw)
47,0.2659574468085106,6,250.0,100.0,0.4732066912390134,0.41666666666666674,71,1,pontiac firebird
48,0.23936170212765953,6,250.0,88.00,0.43266231925148857,0.386904761904762,71,1,ford mustang
49,0.37234042553191476,4,122.0,86.00,0.17210093563935358,0.35714285714285715,71,1,mercury capri 2000
50,0.50531914893617,4,116.0,90.00,0.14459880918627732,0.35714285714285715,71,2,opel 1900
51,0.5585106382978722,4,79.0,70.00,0.13070598242132125,0.6845238095238095,71,2,peugeot 304
52,0.5585106382978722,4,88.0,76.00,0.1281542387297987,0.386904761904762,71,2,fiat 124b
53,0.5851063829787233,4,71.0,65.00,0.045364332293734044,0.6547619047619049,71,3,toyota corolla 1200
54,0.6914893617021275,4,72.0,69.00,0.0,0.5952380952380953,71,3,datsun 1200
55,0.478723404255319,4,97.0,60.00,0.06265948398072019,0.6547619047619049,71,2,volkswagen model 111
56,0.452127659574468,4,91.0,70.00,0.0969662602778566,0.7440476190476191,71,1,plymouth cricket
57,0.39893617021276584,4,113.0,95.00,0.1885455060958322,0.4464285714285715,72,3,toyota corona hardtop
58,0.42553191489361686,4,97.5,80.00,0.14544939041678484,0.5357142857142858,72,1,dodge colt hardtop
59,0.37234042553191476,4,97.0,54.00,0.18174085625177205,0.9226190476190478,72,2,volkswagen type 3
60,0.2925531914893616,4,140.0,90.00,0.22540402608449106,0.6845238095238095,72,1,chevrolet vega
61,0.3191489361702127,4,122.0,86.00,0.17380209810036862,0.505952380952381,72,1,ford pinto runabout
62,0.10638297872340424,8,350.0,165.0,0.7544655514601645,0.23809523809523808,72,1,chevrolet impala
63,0.13297872340425526,8,400.0,175.0,0.7859370569889425,0.23809523809523808,72,1,pontiac catalina
64,0.15957446808510634,8,318.0,150.0,0.7150552877799831,0.3273809523809524,72,1,plymouth fury iii
65,0.13297872340425526,8,351.0,153.0,0.713354125318968,0.2976190476190476,72,1,ford galaxie 500
66,0.21276595744680846,8,304.0,150.0,0.58378225120499,0.20833333333333343,72,1,amc ambassador sst
67,0.05319148936170211,8,429.0,208.0,0.8562517720442303,0.17857142857142863,72,1,mercury marquis
68,0.10638297872340424,8,350.0,155.0,0.8191097249787355,0.3273809523809524,72,1,buick lesabre custom
69,0.07978723404255318,8,350.0,160.0,0.8060674794442869,0.3273809523809524,72,1,oldsmobile delta 88 royale
70,0.10638297872340424,8,400.0,190.0,0.7964275588318684,0.26785714285714285,72,1,chrysler newport royal
71,0.2659574468085106,3,70.0,97.00,0.20328891409129568,0.3273809523809524,72,3,mazda rx2 coupe
72,0.15957446808510634,8,304.0,150.0,0.6461582081088745,0.26785714285714285,72,1,amc matador (sw)
73,0.10638297872340424,8,307.0,130.0,0.7045647859370571,0.35714285714285715,72,1,chevrolet chevelle concours (sw)
74,0.10638297872340424,8,302.0,140.0,0.7601360929968811,0.4761904761904763,72,1,ford gran torino (sw)
75,0.13297872340425526,8,318.0,150.0,0.6986107173235044,0.35714285714285715,72,1,plymouth satellite custom (sw)
76,0.23936170212765953,4,121.0,112.0,0.374255741423306,0.386904761904762,72,2,volvo 145e (sw)
77,0.34574468085106375,4,121.0,76.00,0.25460731499858236,0.5952380952380953,72,2,volkswagen 411 (sw)
78,0.3191489361702127,4,120.0,87.00,0.3872979869577545,0.6845238095238095,72,2,peugeot 504 (sw)
